date,indonesia_suhu_max,indonesia_hujan,indonesia_hujan_7d,indonesia_suhu_anomali,jerman_suhu_max,jerman_hujan,jerman_hujan_7d,jerman_suhu_anomali,australia_suhu_max,australia_hujan,australia_hujan_7d,australia_suhu_anomali,brasil_suhu_max,brasil_hujan,brasil_hujan_7d,brasil_suhu_anomali,china_suhu_max,china_hujan,china_hujan_7d,china_suhu_anomali,rusia_suhu_max,rusia_hujan,rusia_hujan_7d,rusia_suhu_anomali,amerika_suhu_max,amerika_hujan,amerika_hujan_7d,amerika_suhu_anomali
2023-03-27,30.0,7.4,,,7.4,1.4,,,33.5,0.1,,,31.9,0.6,,,14.9,0.0,,,9.4,0.3,,,5.3,0.0,,
2023-03-28,28.2,2.9,,,8.2,0.8,,,34.2,0.1,,,31.2,3.5,,,15.2,0.0,,,9.6,0.0,,,9.9,0.2,,
2023-03-29,32.1,19.9,,,14.2,0.3,,,34.7,0.1,,,29.3,4.4,,,13.9,1.8,,,7.7,2.8,,,6.6,0.1,,
2023-03-30,29.6,20.7,,,16.2,5.5,,,33.0,0.0,,,30.1,0.0,,,13.2,1.2,,,5.4,0.0,,,11.1,0.0,,
2023-03-31,30.0,15.2,,,13.5,9.5,,,32.0,0.0,,,31.1,0.7,,,17.0,0.0,,,5.3,3.5,,,20.8,0.5,,
2023-04-01,30.5,0.9,,,12.1,8.8,,,30.5,0.0,,,29.6,5.7,,,20.6,0.0,,,8.6,0.8,,,16.5,10.5,,
2023-04-02,31.4,13.3,80.3,,8.4,1.3,27.6,,30.8,0.0,0.3,,27.8,16.8,31.700000000000003,,19.9,0.0,3.0,,9.9,0.6,8.0,,11.9,0.0,11.3,
2023-04-03,30.1,9.9,82.8,,7.6,0.0,26.200000000000003,,30.8,0.0,0.2,,28.0,6.7,37.8,,17.1,7.2,10.2,,13.3,0.6,8.3,,13.6,3.8,15.1,
2023-04-04,30.2,1.2,81.10000000000001,,8.1,0.0,25.4,,31.6,0.0,0.1,,30.2,4.9,39.2,,18.7,19.3,29.5,,13.4,0.1,8.4,,22.3,11.8,26.700000000000003,
2023-04-05,30.0,4.4,65.6,,8.9,0.0,25.1,,32.5,0.0,0.0,,29.4,0.9,35.7,,17.5,0.0,27.7,,13.9,0.0,5.6,,22.8,12.8,39.400000000000006,
2023-04-06,30.6,19.4,64.3,,12.9,3.0,22.6,,34.5,0.2,0.2,,26.1,4.5,40.2,,15.6,7.4,33.9,,13.6,0.0,5.6,,11.2,0.0,39.400000000000006,
2023-04-07,30.1,3.0,52.1,,9.6,3.1,16.2,,36.2,0.0,0.2,,28.8,15.6,55.1,,17.7,0.7,34.6,,10.4,0.0,2.1,,8.8,0.0,38.900000000000006,
2023-04-08,32.2,2.5,53.7,,11.6,0.2,7.6,,30.6,0.0,0.2,,28.7,8.6,58.0,,16.5,0.0,34.6,,12.1,0.0,1.3,,14.5,0.0,28.4,
2023-04-09,31.9,4.5,44.900000000000006,,13.7,0.1,6.4,,29.4,0.0,0.2,,28.7,3.8,45.0,,16.8,0.0,34.6,,13.7,0.1,0.8,,18.3,0.0,28.4,
2023-04-10,32.2,4.2,39.2,,17.2,3.1,9.5,,30.2,0.0,0.2,,28.1,7.8,46.1,,20.0,0.0,27.4,,13.1,0.3,0.5,,20.0,0.0,24.6,
2023-04-11,32.5,0.6,38.6,,13.7,3.5,13.0,,31.0,0.0,0.2,,29.1,0.4,41.6,,23.5,0.0,8.1,,14.9,2.8,3.2,,23.5,0.0,12.8,
2023-04-12,33.0,0.6,34.800000000000004,,12.6,11.9,24.9,,34.0,0.0,0.2,,30.0,6.5,47.2,,18.8,0.0,8.1,,16.8,0.0,3.2,,24.9,0.0,0.0,
2023-04-13,32.7,1.0,16.4,,11.4,5.4,27.3,,33.4,0.0,0.0,,30.9,6.9,49.6,,18.0,2.2,2.9000000000000004,,16.4,0.0,3.2,,25.6,0.0,0.0,
2023-04-14,32.0,10.8,24.200000000000003,,14.1,0.2,24.4,,29.9,0.0,0.0,,30.1,4.4,38.4,,23.5,2.3,4.5,,7.4,0.0,3.2,,25.5,0.0,0.0,
2023-04-15,32.0,33.1,54.8,,11.4,3.7,27.9,,31.9,0.0,0.0,,30.6,0.9,30.7,,22.2,5.1,9.6,,7.8,0.0,3.2,,26.4,0.4,0.4,
2023-04-16,30.9,11.0,61.3,,11.1,1.5,29.300000000000004,,22.9,5.5,5.5,,31.0,0.1,27.0,,26.2,0.0,9.6,,12.2,0.1,3.2,,22.8,8.3,8.700000000000001,
2023-04-17,32.1,2.4,59.5,,13.1,1.8,28.0,,27.4,0.0,5.5,,30.5,0.6,19.8,,21.4,0.0,9.6,,13.6,0.3,3.2,,5.8,2.7,11.400000000000002,
2023-04-18,32.4,11.0,69.9,,14.8,0.2,24.700000000000003,,30.3,0.2,5.7,,30.5,0.6,20.0,,26.5,4.3,13.9,,14.6,0.1,0.5,,13.6,0.0,11.400000000000002,
2023-04-19,29.7,7.9,77.2,,13.8,0.0,12.8,,29.5,0.2,5.9,,30.4,2.9,16.4,,22.9,0.3,14.2,,15.9,0.0,0.5,,22.9,0.4,11.8,
2023-04-20,29.9,8.2,84.4,,12.1,12.9,20.3,,30.0,0.1,6.0,,26.8,4.6,14.099999999999996,,23.5,0.0,12.0,,16.7,0.0,0.5,,26.3,3.4,15.2,
2023-04-21,31.5,7.3,80.9,,17.8,0.9,21.0,,29.9,0.0,6.0,,30.1,1.5,11.199999999999996,,21.2,0.0,9.7,,15.6,0.0,0.5,,17.6,2.1,17.3,
2023-04-22,31.4,7.2,55.0,,21.2,1.5,18.8,,28.8,0.0,6.0,,29.1,27.6,37.9,,19.9,2.7,7.3,,14.9,0.0,0.5,,14.8,1.4,18.300000000000004,
2023-04-23,32.0,12.4,56.4,,17.8,4.2,21.5,,29.8,0.0,0.5,,27.1,16.2,54.0,,16.3,9.7,17.0,,18.1,0.0,0.4,,6.4,3.5,13.5,
2023-04-24,31.5,9.3,63.3,,12.8,1.9,21.6,,28.9,0.0,0.5,,30.4,0.2,53.6,,16.6,2.4,19.4,,20.5,0.0,0.1,,10.6,0.6,11.4,
2023-04-25,27.3,5.2,57.5,-3.6999999999999993,11.4,1.0,22.4,-1.2233333333333327,29.2,0.0,0.3,-1.846666666666668,29.8,2.7,55.7,0.2866666666666688,16.9,0.5,15.6,-2.166666666666668,17.8,2.9,2.9,5.046666666666667,7.6,5.4,16.799999999999997,-8.663333333333332
2023-04-26,32.1,20.5,70.1,1.0300000000000011,11.7,0.2,22.6,-1.0666666666666682,29.1,0.0,0.1,-1.7999999999999972,30.5,0.4,53.2,1.033333333333335,20.9,0.0,15.3,1.6333333333333329,15.9,6.4,9.3,2.93,7.5,0.0,16.4,-8.836666666666666
2023-04-27,31.6,7.5,69.4,0.4166666666666678,15.1,0.1,9.8,2.103333333333333,30.2,0.0,0.0,-0.5666666666666664,31.0,1.6,50.2,1.5400000000000027,19.1,0.8,16.1,-0.2966666666666633,19.9,0.7,10.0,6.586666666666666,17.1,0.0,13.0,0.5233333333333334
2023-04-28,28.0,22.0,84.10000000000001,-3.0466666666666704,17.0,2.5,11.4,3.91,30.0,0.0,0.0,-0.610000000000003,30.0,5.7,54.4,0.5166666666666657,24.5,0.0,16.1,4.75,15.4,9.5,19.5,1.83,11.8,0.0,10.9,-4.949999999999999
2023-04-29,29.8,4.1,81.0,-1.253333333333334,14.7,0.7,10.6,1.66,25.0,9.2,9.2,-5.343333333333337,31.5,0.1,26.9,1.9700000000000024,18.9,3.6,17.0,-1.0399999999999991,12.4,10.5,30.0,-1.4033333333333324,14.9,4.3,13.8,-1.9766666666666683
2023-04-30,31.3,1.8,70.39999999999999,0.2033333333333331,17.5,0.0,6.4,4.326666666666666,22.9,0.0,9.2,-7.140000000000004,31.8,0.9,11.6,2.246666666666666,20.8,0.0,7.300000000000002,0.7333333333333343,11.6,6.0,36.0,-2.413333333333334,11.4,2.7,13.0,-5.163333333333336
2023-05-01,31.7,29.0,90.1,0.5633333333333326,17.9,0.1,4.6000000000000005,4.533333333333331,24.2,0.0,9.2,-5.629999999999999,30.8,0.8,12.2,1.2066666666666706,24.5,0.0,4.900000000000002,4.303333333333331,10.8,0.8,36.8,-3.286666666666667,7.2,5.5,17.9,-9.053333333333336
2023-05-02,29.9,0.1,85.0,-1.1866666666666674,16.3,0.7,4.3,2.6700000000000017,26.8,0.0,9.2,-2.8966666666666647,30.0,0.7,10.2,0.3333333333333321,22.0,2.9,7.300000000000002,1.7333333333333345,14.1,0.0,33.9,-0.1266666666666669,12.0,0.5,13.0,-4.256666666666668
2023-05-03,32.2,1.9,66.39999999999999,1.043333333333333,16.6,0.0,4.1,2.6700000000000017,28.7,0.0,9.2,-0.926666666666666,30.8,0.2,10.0,1.0400000000000027,24.0,7.4,14.700000000000005,3.5033333333333303,13.5,0.8,28.3,-0.7333333333333325,9.4,0.0,13.0,-6.716666666666667
2023-05-04,31.4,6.2,65.1,0.2033333333333331,21.5,0.0,4.0,7.123333333333333,29.2,0.0,9.2,-0.3466666666666675,31.5,0.0,8.4,1.696666666666669,27.0,2.1,16.000000000000004,6.226666666666667,13.6,0.0,27.6,-0.6400000000000006,19.5,0.0,13.0,3.4766666666666666
2023-05-05,30.0,8.1,51.2,-1.1966666666666654,22.0,0.8,2.3,7.186666666666667,28.5,0.0,9.2,-0.913333333333334,32.4,0.0,2.7,2.496666666666666,26.1,5.6,21.6,5.040000000000003,8.1,0.2,18.3,-5.946666666666665,24.1,0.0,13.0,8.033333333333335
2023-05-06,31.1,9.5,56.6,-0.1133333333333297,20.4,0.3,1.9,5.336666666666666,28.5,0.0,0.0,-0.7133333333333312,31.3,1.9,4.5,1.2233333333333365,22.7,14.3,32.3,1.4033333333333324,6.7,0.4,8.2,-7.116666666666666,25.3,0.3,9.0,8.763333333333332
2023-05-07,29.5,42.3,97.1,-1.6933333333333351,23.0,6.1,8.0,7.490000000000002,26.6,0.0,0.0,-2.293333333333333,32.1,0.1,3.7,1.913333333333334,19.8,0.4,32.7,-1.5666666666666664,8.2,0.4,2.6,-5.543333333333335,26.0,0.6,6.9,8.89
2023-05-08,30.8,6.7,74.8,-0.346666666666664,18.8,5.4,13.3,3.0500000000000007,20.6,0.0,0.0,-7.960000000000001,32.0,0.0,2.8999999999999995,1.7033333333333331,20.0,0.0,32.7,-1.4833333333333345,10.2,0.4,2.2,-3.4800000000000004,15.2,12.1,13.5,-1.9333333333333336
2023-05-09,30.0,10.1,84.8,-1.083333333333332,20.5,13.4,26.0,4.523333333333333,20.9,0.0,0.0,-7.376666666666669,30.8,0.0,2.2,0.4333333333333335,22.1,0.0,29.8,0.4400000000000013,12.9,0.0,2.2,-0.7533333333333321,15.2,0.1,13.1,-1.8299999999999983
2023-05-10,28.0,2.4,85.3,-2.943333333333332,17.0,2.8,28.8,1.0300000000000011,23.7,0.0,0.0,-4.359999999999999,31.8,0.0,2.0,1.3099999999999987,21.5,0.7,23.1,-0.2099999999999973,15.2,0.0,1.4,1.4766666666666648,21.1,0.0,13.1,4.033333333333335
2023-05-11,33.0,7.5,86.6,2.0400000000000027,15.9,12.8,41.6,-0.1433333333333326,25.8,0.0,0.0,-2.086666666666666,31.0,0.1,2.1,0.4466666666666654,19.9,0.0,21.000000000000004,-1.6899999999999975,16.8,0.5,1.9,3.0133333333333354,25.1,0.0,13.1,7.98
2023-05-12,32.9,3.0,81.5,1.9433333333333351,17.0,3.7,44.50000000000001,0.8099999999999987,26.3,0.5,0.5,-1.3299999999999983,31.5,0.2,2.3,0.8966666666666647,22.5,0.0,15.400000000000002,0.7866666666666688,20.7,0.0,1.7000000000000002,6.783333333333333,21.2,14.7,27.8,4.203333333333333
2023-05-13,30.2,38.0,110.0,-0.6733333333333356,18.3,2.3,46.5,1.8800000000000023,27.0,0.0,0.5,-0.4166666666666678,30.9,0.2,0.6000000000000001,0.2966666666666633,25.4,0.0,1.100000000000002,3.4399999999999977,21.9,0.0,1.3,7.799999999999999,17.0,5.3,32.8,0.2899999999999991
2023-05-14,31.0,1.4,69.10000000000001,0.1600000000000001,19.2,0.3,40.7,2.6099999999999994,27.9,0.0,0.5,0.5500000000000007,31.8,0.0,0.5,1.1400000000000006,29.7,0.0,0.7000000000000017,7.533333333333331,17.2,0.0,0.9000000000000001,2.773333333333332,15.0,0.0,32.2,-1.3599999999999994
2023-05-15,31.0,1.1,63.5,0.1933333333333315,19.2,0.6,35.9,2.349999999999998,27.3,0.0,0.5,0.1033333333333352,31.5,0.0,0.5,0.8100000000000023,31.4,0.0,0.7000000000000017,8.926666666666666,18.2,0.0,0.4999999999999999,3.426666666666666,14.6,0.0,20.1,-1.3666666666666671
2023-05-16,32.0,0.0,53.400000000000006,1.1566666666666698,15.3,0.2,22.700000000000003,-1.6900000000000013,27.3,0.0,0.5,-0.0433333333333294,31.4,0.0,0.5,0.696666666666669,26.2,3.7,4.400000000000002,3.726666666666663,19.6,0.0,0.5,4.58,25.4,0.0,20.0,9.346666666666664
2023-05-17,30.9,1.4,52.4,0.096666666666664,15.4,0.3,20.2,-1.666666666666666,25.1,0.0,0.5,-2.1666666666666643,31.8,0.0,0.5,1.0533333333333346,21.8,21.6,25.300000000000004,-0.6866666666666639,22.9,0.0,0.5,7.5699999999999985,14.0,0.0,20.0,-2.326666666666668
2023-05-18,30.1,8.6,53.5,-0.6266666666666652,17.4,0.0,7.4,0.2466666666666661,23.3,0.0,0.5,-3.7333333333333343,31.4,0.0,0.4,0.6233333333333348,25.6,0.1,25.40000000000001,3.143333333333338,24.5,0.0,0.0,8.840000000000002,20.8,0.0,20.0,4.233333333333334
2023-05-19,29.4,7.6,58.1,-1.3166666666666664,18.6,0.0,3.7,1.2866666666666688,21.2,0.0,0.0,-5.556666666666668,32.4,0.0,0.2,1.5566666666666684,23.8,0.3,25.700000000000003,1.3133333333333326,16.9,3.1,3.1,1.2066666666666652,23.6,4.2,9.5,7.010000000000002
2023-05-20,29.9,1.8,21.9,-0.8166666666666664,19.8,0.0,1.4,2.2300000000000004,23.2,0.0,0.0,-3.3300000000000054,32.0,0.0,0.0,0.9833333333333344,21.5,0.0,25.700000000000003,-0.9200000000000016,14.2,5.3,8.4,-1.410000000000002,16.9,0.0,4.2,0.6233333333333313
2023-05-21,31.1,2.9,23.4,0.3966666666666683,26.0,0.0,1.1,8.15666666666667,23.0,0.0,0.0,-3.3000000000000007,32.3,0.0,0.0,1.2099999999999973,24.8,10.8,36.50000000000001,2.259999999999998,16.5,2.4,10.8,0.8600000000000012,23.7,0.0,4.2,7.219999999999999
2023-05-22,29.8,3.6,25.9,-0.8499999999999979,26.0,1.7,2.2,7.99666666666667,23.4,0.0,0.0,-2.7200000000000024,31.0,0.0,0.0,-0.1533333333333324,19.7,3.0,39.50000000000001,-2.833333333333336,20.8,2.0,12.8,4.963333333333333,23.5,0.0,4.2,6.73
2023-05-23,31.1,3.7,29.6,0.480000000000004,19.5,0.6,2.6,1.4400000000000013,24.9,0.0,0.0,-1.0566666666666684,31.5,0.0,0.0,0.1999999999999993,25.1,0.0,35.800000000000004,2.273333333333337,19.5,1.7,14.5,3.616666666666667,26.9,0.0,4.2,9.446666666666664
2023-05-24,30.6,1.0,29.200000000000003,0.0100000000000051,14.9,0.0,2.3,-3.230000000000002,26.2,0.0,0.0,0.3333333333333321,31.8,0.0,0.0,0.4533333333333331,20.3,0.9,15.100000000000003,-2.6499999999999986,21.4,0.8,15.3,5.486666666666666,22.1,0.0,4.2,4.263333333333335
2023-05-25,31.6,4.1,24.7,0.8666666666666671,20.0,0.0,2.3,1.583333333333332,26.2,0.0,0.0,0.4333333333333335,31.9,0.2,0.2,0.4833333333333307,23.0,0.0,15.000000000000004,-0.1533333333333324,20.2,3.7,19.0,4.206666666666667,14.1,0.0,4.2,-3.953333333333335
2023-05-26,31.4,7.8,24.9,0.6900000000000013,21.0,0.0,2.3,2.27333333333333,25.6,0.0,0.0,-0.0499999999999971,32.6,0.0,0.2,1.1133333333333333,24.8,11.6,26.300000000000004,1.5166666666666655,24.4,0.0,15.9,8.123333333333331,18.0,0.0,0.0,-0.4033333333333324
2023-05-27,31.1,10.4,33.5,0.4066666666666698,23.0,0.0,2.3,4.009999999999998,20.1,0.0,0.0,-5.213333333333331,31.7,0.0,0.2,0.1899999999999977,24.9,0.5,26.800000000000004,1.423333333333332,21.4,0.0,10.6,5.073333333333331,20.3,0.0,0.0,1.7900000000000027
2023-05-28,31.3,1.2,31.8,0.4966666666666697,24.2,0.0,2.3,4.969999999999999,20.8,0.0,0.0,-4.206666666666664,31.6,0.0,0.2,0.0366666666666688,27.5,0.0,16.000000000000004,3.923333333333336,16.5,5.0,13.2,0.1366666666666667,23.4,0.0,0.0,4.503333333333334
2023-05-29,29.8,5.5,33.7,-1.003333333333334,24.6,0.0,0.6,5.040000000000003,21.0,0.0,0.0,-3.8733333333333313,30.9,0.6,0.8,-0.643333333333338,30.2,0.0,13.000000000000004,6.246666666666666,20.2,0.0,11.2,3.576666666666668,25.0,0.0,0.0,5.766666666666666
2023-05-30,31.1,3.2,33.2,0.303333333333331,22.1,0.0,0.0,2.3866666666666703,23.3,0.0,0.0,-1.586666666666666,31.5,0.0,0.7999999999999999,-0.0333333333333349,28.1,0.0,13.000000000000004,3.903333333333336,21.0,0.0,9.5,4.063333333333336,28.1,0.0,0.0,8.309999999999999
2023-05-31,30.9,2.3,34.5,0.129999999999999,25.5,0.0,0.0,5.533333333333335,24.5,0.0,0.0,-0.3966666666666683,30.8,0.3,1.1,-0.7333333333333343,28.1,0.6,12.700000000000005,3.783333333333335,12.9,8.8,17.5,-4.106666666666667,31.1,3.6,3.6,10.513333333333335
2023-06-01,30.9,0.5,30.9,0.096666666666664,26.3,0.0,0.0,6.0,26.8,0.0,0.0,1.903333333333336,30.2,1.3,2.2,-1.3400000000000034,29.1,3.4,16.1,4.54666666666667,20.5,0.0,13.8,3.2799999999999976,31.2,0.2,3.8,9.973333333333333
2023-06-02,32.1,10.4,33.5,1.3000000000000007,20.6,0.0,0.0,0.1666666666666678,26.9,0.0,0.0,2.063333333333333,30.9,0.2,2.4,-0.643333333333338,31.7,0.0,4.500000000000004,6.890000000000001,23.5,3.6,17.400000000000002,5.946666666666665,29.1,0.0,3.8,7.216666666666669
2023-06-03,31.4,15.4,38.5,0.5999999999999979,24.2,0.0,0.0,3.676666666666666,27.1,0.0,0.0,2.333333333333336,31.9,0.2,2.6,0.3433333333333337,26.9,0.0,4.000000000000004,2.0933333333333337,10.9,8.7,26.1,-6.563333333333331,27.2,0.0,3.8,5.059999999999999
2023-06-04,28.9,48.2,85.5,-1.8633333333333333,24.3,0.0,0.0,3.6999999999999993,28.0,0.0,0.0,3.25,31.8,0.0,2.6,0.2633333333333354,25.2,0.7,4.700000000000004,0.423333333333332,14.1,0.3,21.4,-3.5633333333333344,24.0,0.0,3.8,1.8633333333333333
2023-06-05,29.6,9.4,89.4,-1.1133333333333295,26.0,0.0,0.0,5.213333333333331,28.2,0.0,0.0,3.4599999999999973,31.9,0.0,2.0,0.3433333333333301,28.2,4.3,9.000000000000004,3.240000000000002,17.5,1.1,22.5,-0.5233333333333334,26.4,0.0,3.8,4.226666666666663
2023-06-06,31.2,11.8,98.0,0.4299999999999997,25.1,0.0,0.0,4.243333333333332,27.4,0.0,0.0,2.633333333333333,31.5,0.0,2.0,-0.0366666666666688,27.6,3.0,12.000000000000004,2.379999999999999,19.2,0.0,22.5,0.8100000000000023,23.5,0.2,4.0,1.41
2023-06-07,29.9,13.6,109.3,-0.8400000000000034,24.2,0.6,0.6,3.163333333333334,26.8,0.0,0.0,1.826666666666668,31.0,0.0,1.6999999999999995,-0.5033333333333339,23.6,7.9,19.300000000000004,-1.7399999999999984,21.9,0.0,13.7,3.119999999999994,20.5,0.0,0.4,-1.7666666666666655
2023-06-08,30.0,3.5,112.3,-0.740000000000002,25.5,7.3,7.899999999999999,4.29666666666667,27.7,0.0,0.0,2.5,31.5,0.1,0.4999999999999998,-0.0266666666666672,28.2,1.3,17.200000000000003,2.6566666666666627,22.2,0.0,13.7,3.110000000000003,21.1,0.0,0.2,-1.3633333333333295
2023-06-09,31.3,1.0,102.9,0.4499999999999993,28.5,0.0,7.899999999999999,6.9133333333333375,25.5,0.0,0.0,0.2399999999999984,32.0,0.0,0.2999999999999998,0.466666666666665,29.5,0.0,17.200000000000003,3.6899999999999977,23.4,0.1,10.2,4.036666666666665,24.1,0.0,0.2,1.5366666666666653
2023-06-10,31.5,2.2,89.7,0.6999999999999993,29.0,0.0,7.899999999999999,6.97666666666667,27.1,0.0,0.0,1.7966666666666669,32.0,0.0,0.0999999999999997,0.4333333333333335,28.0,0.0,17.200000000000003,1.9199999999999984,16.4,0.0,1.5000000000000002,-2.950000000000003,29.9,0.0,0.2,7.176666666666662
2023-06-11,31.1,11.3,52.8,0.3599999999999994,29.5,0.0,7.899999999999999,7.060000000000002,26.2,0.0,0.0,0.8999999999999986,32.4,0.0,0.0999999999999997,0.803333333333331,29.2,0.0,16.500000000000004,2.8966666666666647,16.4,0.0,1.2000000000000002,-2.8066666666666684,26.3,3.7,3.9,3.40666666666667
2023-06-12,30.5,7.0,50.400000000000006,-0.25,28.8,0.0,7.899999999999999,6.009999999999998,26.3,0.0,0.0,1.0233333333333334,32.5,0.5,0.5999999999999998,0.8500000000000014,26.5,0.0,12.200000000000005,0.1600000000000037,18.3,0.0,0.1,-0.7866666666666653,20.1,0.0,3.9,-2.8966666666666647
2023-06-13,31.5,13.4,52.0,0.7333333333333343,27.0,0.0,7.899999999999999,3.9499999999999993,25.0,0.0,0.0,-0.1800000000000032,28.0,0.5,1.0999999999999996,-3.523333333333333,26.1,3.4,12.600000000000003,-0.120000000000001,20.8,0.0,0.1,1.5933333333333335,19.6,6.3,10.0,-3.549999999999997
2023-06-14,29.1,21.6,60.00000000000001,-1.6033333333333315,24.2,0.0,7.3,0.9833333333333344,24.5,0.0,0.0,-0.586666666666666,22.3,0.1,1.1999999999999995,-8.916666666666664,27.5,2.4,7.100000000000003,1.41,23.2,0.0,0.1,3.826666666666668,20.4,4.8,14.8,-2.943333333333332
2023-06-15,26.6,18.0,74.5,-3.923333333333332,25.9,0.0,0.0,2.3299999999999983,22.8,0.0,0.0,-2.1366666666666667,26.4,0.0,1.0999999999999996,-4.650000000000002,29.3,0.0,5.800000000000004,3.106666666666669,25.3,0.0,0.1,5.736666666666665,28.4,0.3,15.1,4.956666666666667
2023-06-16,30.4,33.3,106.8,-0.1066666666666691,26.2,0.0,0.0,2.27,23.6,0.0,0.0,-1.2866666666666653,28.9,0.0,1.0999999999999996,-2.0533333333333346,27.1,3.3,9.100000000000003,0.7300000000000004,26.6,0.0,0.0,6.9133333333333375,18.2,0.0,15.1,-5.383333333333333
2023-06-17,29.6,2.3,106.9,-0.8900000000000006,28.4,0.0,0.0,4.103333333333332,26.0,0.0,0.0,1.02333333333333,29.4,0.0,1.0999999999999996,-1.486666666666668,24.4,6.5,15.600000000000003,-1.93,26.2,0.0,0.0,6.456666666666667,23.6,0.0,15.1,-0.0766666666666679
2023-06-18,30.5,2.7,98.3,-0.0266666666666672,31.0,0.0,0.0,6.290000000000003,25.5,0.0,0.0,0.379999999999999,30.1,0.0,1.0999999999999996,-0.7100000000000009,27.4,48.9,64.5,0.9499999999999992,24.1,0.0,0.0,4.116666666666667,27.2,0.0,11.4,3.4033333333333324
2023-06-19,30.0,49.3,140.6,-0.5300000000000047,28.7,0.0,0.0,3.693333333333332,24.5,0.0,0.0,-0.663333333333334,31.3,0.0,0.5999999999999998,0.5133333333333319,26.8,55.0,119.5,0.1733333333333355,21.6,0.0,0.0,1.3699999999999974,26.9,0.0,11.4,2.77
2023-06-20,26.4,1.6,128.8,-3.973333333333336,31.0,6.1,6.1,5.826666666666664,24.2,0.0,0.0,-1.0033333333333303,32.2,0.0,0.0999999999999997,1.416666666666668,30.5,3.8,119.9,3.6833333333333336,24.2,0.2,0.2,3.713333333333331,24.5,0.0,5.1,0.3433333333333372
2023-06-21,31.5,0.0,107.2,1.0700000000000005,29.1,0.7,6.8,3.823333333333334,26.2,0.0,0.0,0.9033333333333324,32.2,0.0,0.0,1.3766666666666725,29.9,0.2,117.7,2.743333333333336,21.4,0.0,0.2,0.8933333333333344,27.8,0.0,0.3,3.5
2023-06-22,30.5,0.8,90.0,0.0899999999999963,31.8,5.2,12.0,6.113333333333333,28.8,0.0,0.0,3.373333333333335,31.2,0.0,0.0,0.3866666666666667,28.9,0.0,117.7,1.6166666666666636,24.9,0.0,0.2,4.213333333333331,26.1,0.0,0.0,1.826666666666668
2023-06-23,30.8,2.4,59.1,0.3833333333333328,25.6,0.0,12.0,-0.4433333333333316,25.9,0.0,0.0,0.4833333333333307,31.6,0.0,0.0,0.793333333333333,25.9,50.8,165.2,-1.5700000000000038,20.8,4.3,4.5,0.1333333333333328,26.3,0.0,0.0,1.8866666666666667
2023-06-24,30.6,1.3,58.1,0.2166666666666685,28.0,0.0,12.0,1.6900000000000013,29.1,0.0,0.0,3.5866666666666696,31.4,0.0,0.0,0.6099999999999959,24.9,77.9,236.6,-2.6333333333333364,19.0,0.3,4.8,-1.6266666666666652,30.0,0.0,0.0,5.056666666666668
2023-06-25,31.0,2.0,57.4,0.629999999999999,30.6,0.0,12.0,3.9700000000000015,30.4,0.0,0.0,4.726666666666663,30.9,0.0,0.0,0.1666666666666643,28.2,0.9,188.6,0.5533333333333346,22.9,0.0,4.8,2.323333333333334,30.8,6.2,6.2,5.430000000000003
2023-06-26,31.2,3.0,11.1,0.8266666666666644,29.1,0.0,12.0,2.2666666666666693,29.7,0.0,0.0,3.706666666666667,31.1,0.0,0.0,0.3866666666666702,28.8,3.2,136.8,1.0233333333333334,23.7,0.2,5.0,3.046666666666667,25.0,3.2,9.4,-0.5266666666666637
2023-06-27,30.8,6.7,16.2,0.4433333333333316,23.8,0.1,6.0,-3.02,30.8,0.0,0.0,4.473333333333333,31.0,0.0,0.0,0.3066666666666648,29.4,9.1,142.1,1.5599999999999987,23.2,0.8,5.6,2.323333333333334,21.8,2.0,11.4,-3.673333333333336
2023-06-28,32.0,0.3,16.5,1.5700000000000005,23.8,0.0,5.3,-2.9933333333333323,30.7,0.0,0.0,4.050000000000001,31.0,0.0,0.0,0.3033333333333345,31.8,0.0,141.9,3.90666666666667,20.8,11.4,17.0,-0.096666666666664,27.0,0.2,11.6,1.4599999999999973
2023-06-29,30.9,25.9,41.6,0.4766666666666665,26.6,0.0,0.1,-0.3433333333333301,20.9,0.0,0.0,-5.669999999999998,31.1,0.0,0.0,0.4166666666666678,33.8,0.0,141.9,5.716666666666665,20.8,6.1,23.1,-0.0899999999999963,31.0,31.4,43.0,5.363333333333333
2023-06-30,30.4,25.0,64.2,-0.0066666666666712,23.9,5.8,5.9,-2.990000000000002,18.3,0.0,0.0,-8.063333333333333,31.1,0.0,0.0,0.4066666666666698,30.1,8.7,99.8,1.9500000000000028,18.5,3.7,22.5,-2.5766666666666644,32.2,0.2,43.2,6.526666666666667
2023-07-01,30.5,20.1,83.0,0.1066666666666691,21.9,0.8,6.699999999999999,-4.843333333333337,19.6,0.5,0.5,-6.523333333333333,31.3,0.0,0.0,0.5700000000000003,31.5,5.5,27.4,3.269999999999996,24.4,0.6,22.8,3.193333333333335,27.8,15.8,59.0,2.2399999999999984
2023-07-02,27.9,27.4,108.4,-2.3533333333333357,23.3,0.2,6.9,-3.5333333333333314,14.6,9.7,10.2,-11.113333333333332,31.6,0.0,0.0,0.8466666666666676,32.0,2.9,29.4,3.759999999999998,23.1,0.3,23.1,1.9066666666666696,23.0,119.3,172.1,-2.356666666666669
